sync_exp_time,offset
5.000192880630493,-19.901304721832275
7.000200271606445,-15.72293496131897
9.00032091140747,-12.222814321517944
11.00022268295288,-9.301069736480713
13.000211715698242,-6.870580673217773
15.000416994094849,-4.857296466827393
17.000179290771484,-3.198499917984009
19.00053095817566,-1.8388729095458984
21.000186920166016,-0.7332556247711182
23.000226974487305,0.15997600555419922
25.000197887420654,0.8705928325653076
27.00022864341736,1.431422233581543
29.000298500061035,1.8666143417358398
31.000335216522217,2.1962554454803467
33.00026559829712,2.4360873699188232
35.00154447555542,2.606372594833374
37.0001585483551,2.712557554244995
39.00047850608826,2.7730422019958496
41.00059938430786,2.7929632663726807
43.00049948692322,2.7796990871429443
45.00016379356384,2.7430481910705566
47.000418186187744,2.6872994899749756
49.000128746032715,2.613926887512207
51.0005578994751,2.530531883239746
53.00039601325989,2.4371140003204346
55.000380992889404,2.338446617126465
57.00017523765564,2.2365455627441406
59.00019550323486,2.131908416748047
